category,dataset,version,content_id,local_path,size_bytes,saved_timestamp,expiration_seconds,source_url
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/8bfff056-d527-5722-bf7a-56054c50ac09.png,947872,16779592.5102977,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/rooster/limited-time-events/8bfff056-d527-5722-bf7a-56054c50ac09
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/T_UI_PlaylistImage_ArenaRoyale_01.png,2556536,16779617.8030486,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/playlists/Relaunch/T_UI_PlaylistImage_ArenaRoyale_01.png
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/T_UI_PlaylistImage_Section_Quickplay_01%20(1).png,2379398,16779618.4746042,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/playlists/Relaunch/T_UI_PlaylistImage_Section_Quickplay_01%20(1).png
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/T_UI_PlaylistImage_ClassicArena_01.png,2551807,16779619.0087944,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/playlists/Relaunch/T_UI_PlaylistImage_ClassicArena_01.png
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/T_UI_PlaylistImage_Common_1Player_08_Blue.png,2584859,16779619.9102607,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/playlists/Relaunch/T_UI_PlaylistImage_Common_1Player_08_Blue.png
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/T_UI_PlaylistImage_TeamDeathmatch_01.png,2544020,16779794.238125,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/playlists/Relaunch/T_UI_PlaylistImage_TeamDeathmatch_01.png
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/T_UI_PlaylistImage_Domination_01.png,2555863,16779795.6202387,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/playlists/Relaunch/T_UI_PlaylistImage_Domination_01.png
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/T_UI_PlaylistImage_KOTH_01.png,2674818,16779796.1401423,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/playlists/Relaunch/T_UI_PlaylistImage_KOTH_01.png
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/T_UI_PlaylistImage_ShottySnipers_01.png,2602034,16779798.9874042,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/playlists/Relaunch/T_UI_PlaylistImage_ShottySnipers_01.png
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/T_UI_PlaylistImage_TeamFiesta_01.png,2574529,16779799.7369075,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/playlists/Relaunch/T_UI_PlaylistImage_TeamFiesta_01.png
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/T_UI_PlaylistImage_Common_2Players_06_Red.png,2510319,16779802.7324193,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/playlists/Relaunch/T_UI_PlaylistImage_Common_2Players_06_Red.png
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/Gunsligner_PlaylistImage_1920x733.png,2154588,16779804.7530773,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/playlists/Relaunch/Gunsligner_PlaylistImage_1920x733.jpg
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/T_UI_PlaylistImage_FFAGungame_01.png,2600866,16779805.9960372,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/playlists/Relaunch/T_UI_PlaylistImage_FFAGungame_01.png
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/T_UI_PlaylistImage_TeamSwat_01.png,2499326,16779806.7673404,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/playlists/Relaunch/T_UI_PlaylistImage_TeamSwat_01.png
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/T_UI_PlaylistImage_Splitball_04.png,2510080,16779809.2527112,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/playlists/Relaunch/T_UI_PlaylistImage_Splitball_04.png
