relative_seconds,direction,src,src_port,dst,dst_port,udp_payload_bytes,captured_frame_bytes
281.079656,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,74,116
281.080353,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,100,142
281.090348,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.098193,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,156,198
281.101247,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,75,117
281.112891,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,9,51
281.114442,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,138,180
281.124225,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,88,130
281.131513,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,101,143
281.148129,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,155,197
281.158616,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,75,117
281.165311,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,170,212
281.179822,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,75,117
281.180813,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,92,134
281.191722,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.198206,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,155,197
281.204054,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,75,117
281.214560,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,142,184
281.216103,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.228661,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,75,117
281.231894,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,107,149
281.247949,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,163,205
281.250715,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,75,117
281.264380,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,10,52
281.265593,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,228,270
281.277131,to_game,LOCAL_CLIENT,56215,GAME_ENDPOINT_01,30925,73,115
281.281823,from_game,GAME_ENDPOINT_01,30925,LOCAL_CLIENT,56215,132,174
